	(1)	(2)	(3)
VARIABLES	schappy_z	schappy_z	schappy_z
			
m_carpooling_spouse	0.991***	0.991***	0.991***
	(0.290)	(0.290)	(0.290)
month_4	-0.031	-0.031	-0.031
	(0.252)	(0.252)	(0.252)
month_5	-0.272	-0.272	-0.272
	(0.289)	(0.289)	(0.289)
month_6	0.211	0.211	0.211
	(0.264)	(0.264)	(0.264)
month_7	0.098	0.098	0.098
	(0.250)	(0.250)	(0.250)
month_8	0.062	0.062	0.062
	(0.272)	(0.272)	(0.272)
month_9	-0.196	-0.196	-0.196
	(0.334)	(0.334)	(0.334)
month_10	-0.109	-0.109	-0.109
	(0.278)	(0.278)	(0.278)
month_11	0.230	0.230	0.230
	(0.283)	(0.283)	(0.283)
o.month_12	-	-	-
			
/cut1	-3.344*	-3.344*	-3.344*
	(1.895)	(1.895)	(1.895)
/cut2	-2.901	-2.901	-2.901
	(1.885)	(1.885)	(1.885)
/cut3	-2.063	-2.063	-2.063
	(1.862)	(1.862)	(1.862)
/cut4	-0.810	-0.810	-0.810
	(1.858)	(1.858)	(1.858)
/cut5	0.066	0.066	0.066
	(1.857)	(1.857)	(1.857)
/cut6	1.254	1.254	1.254
	(1.856)	(1.856)	(1.856)
			
Observations	2,742	2,742	2,742
Robust standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
