	(1)	(2)	(3)	(4)	(5)
VARIABLES	schappy_z	schappy_z	schappy_z	schappy_z	schappy_z
					
m_carpooling_spouse			0.778**		0.784**
state_30	1.655*	0.420	0.431	0.418	0.428
	(0.890)	(0.695)	(0.697)	(0.701)	(0.704)
state_31	-0.744	-1.010*	-1.003*	-0.990*	-0.982*
	(0.682)	(0.541)	(0.546)	(0.546)	(0.551)
state_32	-0.032	-0.484	-0.483	-0.460	-0.459
	(1.032)	(0.980)	(0.986)	(0.988)	(0.994)
state_33	-0.374	-1.019**	-1.008**	-1.009**	-0.998**
	(0.614)	(0.496)	(0.500)	(0.500)	(0.505)
state_34	0.212	-0.358	-0.336	-0.346	-0.323
	(0.600)	(0.475)	(0.476)	(0.480)	(0.482)
state_35	0.427	-0.243	-0.245	-0.226	-0.227
	(0.790)	(1.018)	(1.015)	(1.014)	(1.010)
state_36	-0.040	-0.459	-0.446	-0.445	-0.433
	(0.631)	(0.530)	(0.533)	(0.533)	(0.536)
state_37	0.397	-0.674	-0.696	-0.670	-0.694
	(0.785)	(0.655)	(0.669)	(0.653)	(0.666)
state_38	0.092	-0.205	-0.187	-0.195	-0.176
	(0.610)	(0.484)	(0.488)	(0.489)	(0.494)
state_39	0.048	-0.573	-0.567	-0.564	-0.558
	(0.620)	(0.490)	(0.493)	(0.494)	(0.497)
state_40	-0.211	-1.511***	-1.520***	-1.494***	-1.503***
	(0.762)	(0.542)	(0.546)	(0.549)	(0.553)
state_41	0.039	-0.577	-0.598	-0.564	-0.583
	(0.665)	(0.524)	(0.534)	(0.529)	(0.539)
state_42	0.522	-0.426	-0.415	-0.404	-0.393
	(0.697)	(0.491)	(0.495)	(0.495)	(0.499)
state_43	-0.656	-1.418***	-1.407***	-1.391**	-1.379**
	(0.656)	(0.545)	(0.544)	(0.549)	(0.548)
state_44	0.263	-0.336	-0.324	-0.335	-0.323
	(0.591)	(0.459)	(0.463)	(0.463)	(0.467)
state_45	0.123	-0.408	-0.403	-0.394	-0.388
	(0.796)	(0.601)	(0.605)	(0.603)	(0.607)
state_46	1.170*	0.839*	0.827	0.841*	0.830
	(0.614)	(0.503)	(0.509)	(0.503)	(0.509)
state_47	0.274	-0.282	-0.288	-0.272	-0.279
	(0.633)	(0.489)	(0.493)	(0.494)	(0.499)
state_48	-0.279	-0.691	-0.630	-0.686	-0.624
	(0.609)	(0.513)	(0.515)	(0.516)	(0.518)
state_49	2.428**	1.132	1.132	1.187	1.190
	(1.148)	(1.101)	(1.103)	(1.116)	(1.119)
state_50	0.248	-0.509	-0.498	-0.486	-0.475
	(0.664)	(0.546)	(0.550)	(0.553)	(0.558)
o.state_51	-	-	-	-	-
					
year_1	-0.069	0.149	0.148	0.155	0.155
	(0.198)	(0.193)	(0.193)	(0.197)	(0.197)
year_2	-0.261	-0.013	-0.017	-0.007	-0.011
	(0.199)	(0.188)	(0.188)	(0.190)	(0.190)
year_3	0.095	0.105	0.103	0.111	0.110
	(0.212)	(0.193)	(0.194)	(0.194)	(0.194)
o.year_4	-	-	-	-	-
					
month_1	-0.198	0.072	0.055	0.063	0.045
	(0.272)	(0.287)	(0.289)	(0.288)	(0.290)
month_2	-0.345	-0.196	-0.228	-0.205	-0.237
	(0.275)	(0.294)	(0.297)	(0.297)	(0.300)
month_3	0.155	0.357	0.343	0.349	0.335
	(0.288)	(0.269)	(0.271)	(0.270)	(0.272)
month_4	-0.024	0.307	0.294	0.295	0.281
	(0.255)	(0.277)	(0.277)	(0.281)	(0.281)
month_5	-0.244	0.048	0.022	0.036	0.009
	(0.288)	(0.297)	(0.299)	(0.299)	(0.301)
month_6	0.208	0.200	0.204	0.195	0.198
	(0.263)	(0.284)	(0.285)	(0.286)	(0.287)
month_7	0.100	0.040	0.038	0.029	0.026
	(0.249)	(0.267)	(0.268)	(0.270)	(0.271)
month_8	0.061	0.157	0.146	0.153	0.142
	(0.271)	(0.268)	(0.268)	(0.269)	(0.269)
month_9	-0.189	-0.160	-0.190	-0.168	-0.198
	(0.325)	(0.339)	(0.346)	(0.338)	(0.345)
month_10	-0.099	-0.148	-0.162	-0.166	-0.182
	(0.277)	(0.288)	(0.289)	(0.296)	(0.296)
month_11	0.244	0.350	0.332	0.338	0.320
	(0.282)	(0.286)	(0.286)	(0.290)	(0.290)
o.month_12	-	-	-	-	-
					
/cut1	-3.387*	0.451	0.524	5.251	5.365
	(1.890)	(1.699)	(1.705)	(6.751)	(6.729)
/cut2	-2.944	0.972	1.044	5.773	5.887
	(1.880)	(1.697)	(1.702)	(6.760)	(6.738)
/cut3	-2.106	1.954	2.027	6.758	6.872
	(1.857)	(1.675)	(1.680)	(6.761)	(6.740)
/cut4	-0.854	3.489**	3.562**	8.293	8.407
	(1.853)	(1.671)	(1.677)	(6.761)	(6.739)
/cut5	0.021	4.609***	4.683***	9.412	9.527
	(1.852)	(1.673)	(1.679)	(6.761)	(6.739)
/cut6	1.208	6.072***	6.147***	10.875	10.991
	(1.851)	(1.677)	(1.683)	(6.762)	(6.740)
m_carpooling	0.735***	0.646***		0.647***	
	(0.188)	(0.187)		(0.187)	
ln_time_nontravelling				0.728	0.734
				(1.018)	(1.015)
int_nontravelling_hap				-0.174	-0.178
				(0.241)	(0.240)
					
Observations	2,742	2,742	2,742	2,742	2,742
